,vp,max,min,tc
0,2.97,1.195038986317429,1.189174675252549,28.110189520603782
1,2.98,1.195108599976672,1.189377044111727,27.47070243923088
2,2.99,1.195178207406955,1.189580217518766,26.827466725725827
3,3.0,1.195247810695644,1.189784197162956,26.180486178253428
4,3.01,1.195317411890161,1.189988984465378,25.52976570185493
5,3.02,1.195387013129964,1.190194580831154,24.875310727241473
6,3.03,1.195456616326248,1.190400987378023,24.21712698253011
7,3.04,1.195526223583274,1.190608205655426,23.555219055004848
8,3.05,1.195595836881102,1.190816236711665,22.889593352662178
9,3.06,1.195665458184418,1.191025081664314,22.22025588572328
10,3.07,1.195735089535092,1.191234741679201,21.54721281010206
11,3.08,1.195804732848714,1.191445217640506,20.87047103749628
12,3.09,1.195874390190879,1.191656510795302,20.190036463837895
13,3.1,1.195944063538298,1.191868621991048,19.50591648498198
14,3.11,1.196013754844564,1.192081552287701,18.818117375174634
15,3.12,1.196083466154134,1.192295302581843,18.126646634006008
16,3.13,1.196153199530067,1.192509873753088,17.431511938822656
17,3.14,1.196222956939651,1.192725266838062,16.732719764770167
18,3.15,1.19629274051995,1.192941482851632,16.030277510369594
19,3.16,1.196362552350671,1.193158522665887,15.324192991921121
20,3.17,1.196432394525445,1.193376387297922,14.61447340541166
21,3.18,1.19650226916117,1.193595077730963,13.901126228123898
22,3.19,1.196572178514347,1.19381459513227,13.184158731028646
23,3.2,1.196642124724105,1.194034940526316,12.463578316360218
24,3.21,1.196712110095668,1.194256115095728,11.739392430771517
25,3.22,1.196782136884371,1.19447811990133,11.01160887385841
26,3.23,1.196852207403951,1.194700956346649,10.28023409298038
27,3.24,1.196922324085311,1.194924625697322,9.54527576354723
28,3.25,1.196992489262624,1.195147988174573,8.812196705710447
29,3.26,1.197062705515875,1.195367859891854,8.096228394082319
30,3.27,1.197132993628137,1.195583945196546,7.398873790499477
31,3.28,1.19720375653487,1.195796125395284,6.722613379681946
